8=FIX4.4; 35=8; 34=53; 49=MS; 56=M3; 52=2024-08-12-10:56:34; 55=AAPL; 40=2; 11=algo20240812105634; 31=1276.37; 150=1; 39=1; 54=2; 44=1276.37; 32=8513; 17=exec20240812105634; 38=25540; 60=2024-08-12-10:56:34; 6=1276.37; 14=8513; 37=algo20240812105634; 10=240;
8=FIX4.4; 35=8; 34=91; 49=MS; 56=M3; 52=2024-08-12-10:57:03; 55=TXN; 40=2; 11=algo20240812105702; 31=112.46; 150=1; 39=1; 54=1; 44=112.46; 32=3915; 17=exec20240812105703; 38=19576; 60=2024-08-12-10:57:03; 6=112.46; 14=7830; 37=algo20240812105702; 10=240;
8=FIX4.4; 35=8; 34=92; 49=MS; 56=M3; 52=2024-08-12-10:57:04; 55=TXN; 40=2; 11=algo20240812105702; 31=112.46; 150=1; 39=1; 54=1; 44=112.46; 32=3915; 17=exec20240812105704; 38=19576; 60=2024-08-12-10:57:04; 6=112.46; 14=11745; 37=algo20240812105702; 10=240;
8=FIX4.4; 35=8; 34=96; 49=MS; 56=M3; 52=2024-08-12-10:57:08; 55=AVGO; 40=2; 11=algo20240812105708; 31=262.99; 150=1; 39=1; 54=1; 44=262.99; 32=15792; 17=exec20240812105708; 38=31584; 60=2024-08-12-10:57:08; 6=262.99; 14=15792; 37=algo20240812105708; 10=240;
8=FIX4.4; 35=8; 34=97; 49=MS; 56=M3; 52=2024-08-12-10:57:10; 55=AVGO; 40=2; 11=algo20240812105708; 31=262.99; 150=2; 39=2; 54=1; 44=262.99; 32=15792; 17=exec20240812105710; 38=31584; 60=2024-08-12-10:57:10; 6=262.99; 14=31584; 37=algo20240812105708; 10=246;
8=FIX4.4; 35=8; 34=99; 49=MS; 56=M3; 52=2024-08-12-10:57:11; 55=GILD; 40=2; 11=algo20240812105710; 31=82.91; 150=2; 39=2; 54=1; 44=82.91; 32=16135; 17=exec20240812105711; 38=16135; 60=2024-08-12-10:57:11; 6=82.91; 14=16135; 37=algo20240812105710; 10=246;
8=FIX4.4; 35=8; 34=101; 49=MS; 56=M3; 52=2024-08-12-10:57:12; 55=SBUX; 40=2; 11=algo20240812105711; 31=75.71; 150=2; 39=2; 54=1; 44=75.71; 32=19137; 17=exec20240812105712; 38=19137; 60=2024-08-12-10:57:12; 6=75.71; 14=19137; 37=algo20240812105711; 10=246;
8=FIX4.4; 35=8; 34=103; 49=MS; 56=M3; 52=2024-08-12-10:57:13; 55=QCOM; 40=2; 11=algo20240812105712; 31=75.47; 150=2; 39=2; 54=2; 44=75.47; 32=18558; 17=exec20240812105713; 38=18558; 60=2024-08-12-10:57:13; 6=75.47; 14=18558; 37=algo20240812105712; 10=246;
8=FIX4.4; 35=8; 34=111; 49=MS; 56=M3; 52=2024-08-12-10:57:20; 55=BAC; 40=2; 11=algo20240812105719; 31=22.03; 150=2; 39=2; 54=1; 44=22.03; 32=21121; 17=exec20240812105720; 38=21121; 60=2024-08-12-10:57:20; 6=22.03; 14=21121; 37=algo20240812105719; 10=246;
8=FIX4.4; 35=8; 34=116; 49=MS; 56=M3; 52=2024-08-12-10:57:22; 55=MMM; 40=2; 11=algo20240812105722; 31=146.98; 150=1; 39=1; 54=1; 44=146.98; 32=5045; 17=exec20240812105722; 38=25226; 60=2024-08-12-10:57:22; 6=146.98; 14=5045; 37=algo20240812105722; 10=240;
8=FIX4.4; 35=8; 34=123; 49=MS; 56=M3; 52=2024-08-12-10:57:31; 55=WUBA; 40=2; 11=algo20240812105730; 31=51.41; 150=2; 39=2; 54=1; 44=51.41; 32=20939; 17=exec20240812105731; 38=20939; 60=2024-08-12-10:57:31; 6=51.41; 14=20939; 37=algo20240812105730; 10=246;
8=FIX4.4; 35=8; 34=131; 49=MS; 56=M3; 52=2024-08-12-10:57:37; 55=AOS; 40=2; 11=algo20240812105735; 31=40.38; 150=2; 39=2; 54=1; 44=40.38; 32=15016; 17=exec20240812105737; 38=15016; 60=2024-08-12-10:57:37; 6=40.38; 14=15016; 37=algo20240812105735; 10=246;
8=FIX4.4; 35=8; 34=136; 49=MS; 56=M3; 52=2024-08-12-10:57:39; 55=AIR; 40=2; 11=algo20240812105739; 31=16.31; 150=1; 39=1; 54=1; 44=16.31; 32=838; 17=exec20240812105739; 38=4192; 60=2024-08-12-10:57:39; 6=16.31; 14=838; 37=algo20240812105739; 10=240;
8=FIX4.4; 35=8; 34=137; 49=MS; 56=M3; 52=2024-08-12-10:57:41; 55=AIR; 40=2; 11=algo20240812105739; 31=16.31; 150=1; 39=1; 54=1; 44=16.31; 32=838; 17=exec20240812105741; 38=4192; 60=2024-08-12-10:57:41; 6=16.31; 14=1676; 37=algo20240812105739; 10=240;
8=FIX4.4; 35=8; 34=138; 49=MS; 56=M3; 52=2024-08-12-10:57:42; 55=AIR; 40=2; 11=algo20240812105739; 31=16.31; 150=1; 39=1; 54=1; 44=16.31; 32=838; 17=exec20240812105742; 38=4192; 60=2024-08-12-10:57:42; 6=16.31; 14=2514; 37=algo20240812105739; 10=240;
8=FIX4.4; 35=8; 34=142; 49=MS; 56=M3; 52=2024-08-12-10:57:45; 55=AAN; 40=2; 11=algo20240812105745; 31=25.68; 150=1; 39=1; 54=2; 44=25.68; 32=4380; 17=exec20240812105745; 38=13142; 60=2024-08-12-10:57:45; 6=25.68; 14=4380; 37=algo20240812105745; 10=240;
8=FIX4.4; 35=8; 34=146; 49=MS; 56=M3; 52=2024-08-12-10:57:49; 55=ABB; 40=2; 11=algo20240812105748; 31=17.42; 150=2; 39=2; 54=2; 44=17.42; 32=9090; 17=exec20240812105749; 38=9090; 60=2024-08-12-10:57:49; 6=17.42; 14=9090; 37=algo20240812105748; 10=246;
8=FIX4.4; 35=8; 34=151; 49=MS; 56=M3; 52=2024-08-12-10:57:52; 55=ABBV; 40=2; 11=algo20240812105752; 31=83.60; 150=1; 39=1; 54=2; 44=83.60; 32=6123; 17=exec20240812105752; 38=30617; 60=2024-08-12-10:57:52; 6=83.60; 14=6123; 37=algo20240812105752; 10=240;
8=FIX4.4; 35=8; 34=155; 49=MS; 56=M3; 52=2024-08-12-10:57:58; 55=ANF; 40=2; 11=algo20240812105757; 31=9.10; 150=2; 39=2; 54=2; 44=9.10; 32=32329; 17=exec20240812105758; 38=32329; 60=2024-08-12-10:57:58; 6=9.10; 14=32329; 37=algo20240812105757; 10=246;
8=FIX4.4; 35=8; 34=157; 49=MS; 56=M3; 52=2024-08-12-10:57:58; 55=ABM; 40=2; 11=algo20240812105758; 31=31.64; 150=1; 39=1; 54=1; 44=31.64; 32=6025; 17=exec20240812105758; 38=18077; 60=2024-08-12-10:57:58; 6=31.64; 14=6025; 37=algo20240812105758; 10=240;
8=FIX4.4; 35=8; 34=158; 49=MS; 56=M3; 52=2024-08-12-10:57:59; 55=ABM; 40=2; 11=algo20240812105758; 31=31.64; 150=1; 39=1; 54=1; 44=31.64; 32=6025; 17=exec20240812105759; 38=18077; 60=2024-08-12-10:57:59; 6=31.64; 14=12050; 37=algo20240812105758; 10=240;
8=FIX4.4; 35=8; 34=159; 49=MS; 56=M3; 52=2024-08-12-10:58:02; 55=ABM; 40=2; 11=algo20240812105758; 31=31.64; 150=2; 39=2; 54=1; 44=31.64; 32=6027; 17=exec20240812105802; 38=18077; 60=2024-08-12-10:58:02; 6=31.64; 14=18077; 37=algo20240812105758; 10=246;
8=FIX4.4; 35=8; 34=161; 49=MS; 56=M3; 52=2024-08-12-10:58:03; 55=AAPL; 40=2; 11=algo20240812105802; 31=284.65; 150=2; 39=2; 54=2; 44=284.65; 32=3885; 17=exec20240812105803; 38=3885; 60=2024-08-12-10:58:03; 6=284.65; 14=3885; 37=algo20240812105802; 10=246;
8=FIX4.4; 35=8; 34=163; 49=MS; 56=M3; 52=2024-08-12-10:58:04; 55=PEP; 40=2; 11=algo20240812105803; 31=45.43; 150=2; 39=2; 54=2; 44=45.43; 32=17111; 17=exec20240812105804; 38=17111; 60=2024-08-12-10:58:04; 6=45.43; 14=17111; 37=algo20240812105803; 10=246;
